evidence_id,date,inquiry,topic_id,topic_label
3720,2013-03-05,Private Finance 2,8,8_coop_flowers_britannia_reverend
3722,2013-05-14,Quantitative easing,8,8_coop_flowers_britannia_reverend
3721,2013-05-21,Private Finance 2,8,8_coop_flowers_britannia_reverend
3712,2013-06-18,Project Verde,8,8_coop_flowers_britannia_reverend
3514,2013-07-16,Quantitative easing,0,0_carney_dr carney_monetary policy_bailey
3713,2013-09-04,Project Verde,8,8_coop_flowers_britannia_reverend
10704,2013-09-10,Financial Conduct Authority hearings,8,8_coop_flowers_britannia_reverend
3714,2013-10-22,Project Verde,8,8_coop_flowers_britannia_reverend
3492,2013-10-23,Monetary Policy: Forward Guidance,8,8_coop_flowers_britannia_reverend
3512,2013-10-29,Project Verde,8,8_coop_flowers_britannia_reverend
3505,2013-11-05,The economics of HS2,30,30_mr osborne_osborne_atter_lewis
3511,2013-11-06,Project Verde,8,8_coop_flowers_britannia_reverend
3519,2013-11-12,UK Financial Investments Ltd 2013,0,0_carney_dr carney_monetary policy_bailey
3523,2013-11-19,Project Verde,8,8_coop_flowers_britannia_reverend
10700,2013-11-26,Bank of England Inflation Report Hearings: Session 2013-14,0,0_carney_dr carney_monetary policy_bailey
3545,2013-11-27,EU Financial Regulation,1,1_single market_customs_free trade_professor
3715,2013-12-03,Project Verde,8,8_coop_flowers_britannia_reverend
3750,2013-12-09,Autumn Statement 2013,26,26_chote_robert chote_robert_nickell
3751,2013-12-10,Autumn Statement 2013,12,12_national wealth_wealth fund_national wealth fund_net zero
3752,2013-12-12,Autumn Statement 2013,30,30_mr osborne_osborne_atter_lewis
3753,2013-12-17,Autumn Statement 2013,-1,-1_johnson_greensill_business rates_paul johnson
3716,2014-01-07,Project Verde,8,8_coop_flowers_britannia_reverend
3610,2014-01-14,OBR: July 2013 Fiscal Sustainability Report,26,26_chote_robert chote_robert_nickell
10702,2014-01-15,Bank of England Financial Stability Report hearings: Session 2014-15,0,0_carney_dr carney_monetary policy_bailey
3717,2014-01-21,Project Verde,8,8_coop_flowers_britannia_reverend
3649,2014-01-22,RBS Independent Lending Review,-1,-1_johnson_greensill_business rates_paul johnson
3718,2014-01-28,Project Verde,8,8_coop_flowers_britannia_reverend
3654,2014-01-29,Banks' Lending Practices: Treatment of Businesses in Distress,9,9_smith_overdraft_professor_basic bank
10703,2014-02-04,Financial Conduct Authority hearings,0,0_carney_dr carney_monetary policy_bailey
3719,2014-02-11,Project Verde,8,8_coop_flowers_britannia_reverend
3736,2014-02-25,SME Lending,9,9_smith_overdraft_professor_basic bank
10825,2014-03-11,Bank of England Foreign Exchange Market Investigation,0,0_carney_dr carney_monetary policy_bailey
10706,2014-03-11,The economics of currency unions,0,0_carney_dr carney_monetary policy_bailey
3775,2014-03-12,The costing of pre-election policy proposals,26,26_chote_robert chote_robert_nickell
3798,2014-03-18,Performance of the Royal Mint,-1,-1_johnson_greensill_business rates_paul johnson
3812,2014-03-25,Budget 2014,0,0_carney_dr carney_monetary policy_bailey
3819,2014-03-26,Budget 2014,26,26_chote_robert chote_robert_nickell
3834,2014-04-01,Budget 2014,-1,-1_johnson_greensill_business rates_paul johnson
3837,2014-04-03,Budget 2014,30,30_mr osborne_osborne_atter_lewis
3858,2014-04-08,Budget 2014,-1,-1_johnson_greensill_business rates_paul johnson
3884,2014-04-29,SME Lending,9,9_smith_overdraft_professor_basic bank
10710,2014-04-30,"Appointment hearings, Session 2013-14",0,0_carney_dr carney_monetary policy_bailey
10711,2014-04-30,"Appointment hearings, Session 2013-14",0,0_carney_dr carney_monetary policy_bailey
3898,2014-05-06,Cost effectiveness of economic and financial sanctions,22,22_sanctions_russia_russian_oil
3911,2014-05-07,Co-op Governance Review,17,17_wheatley_tracey_martin wheatley_mcdermott
10712,2014-05-07,"Appointment hearings, Session 2013-14",-1,-1_johnson_greensill_business rates_paul johnson
3957,2014-06-10,SME Lending,9,9_smith_overdraft_professor_basic bank
10713,2014-06-11,"Appointment hearings, Session 2014-15",0,0_carney_dr carney_monetary policy_bailey
3986,2014-06-17,SME Lending,9,9_smith_overdraft_professor_basic bank
10714,2014-06-18,"Appointment hearings, Session 2014-15",0,0_carney_dr carney_monetary policy_bailey
10716,2014-06-24,Bank of England Inflation Report Hearings: Session 2014-15,0,0_carney_dr carney_monetary policy_bailey
10715,2014-06-25,"Appointment hearings, Session 2014-15",0,0_carney_dr carney_monetary policy_bailey
4034,2014-07-01,SME Lending,9,9_smith_overdraft_professor_basic bank
4044,2014-07-02,Manipulation of Benchmarks,-1,-1_johnson_greensill_business rates_paul johnson
4060,2014-07-08,HMRC Business Plan 2014-16,11,11_harra_jim_jim harra_homer
10718,2014-07-09,"Appointment hearings, Session 2014-15",0,0_carney_dr carney_monetary policy_bailey
10719,2014-07-15,Bank of England Financial Stability Report hearings: Session 2014-15,0,0_carney_dr carney_monetary policy_bailey
